"Abrangência";"Cargo";"Nr";"Candidato";"Partido";"Coligação";"Turno";"Votação";
"";"";"1010";"ANDRÉ DOS SANTOS ABDON";"PRB";"PR / PRB / PHS / PROS / PSDC / PEN / PV / PT do B";"1";"13.798"
"";"";"2020";"MARCOS JOSE REATEGUI SOUZA";"PSC";"PTB / PSC / PPS / PRTB / PMN / PTC / PRP / PPL";"1";"12.485"
"";"";"1478";"JOZIANE ARAUJO NASCIMENTO ROCHA";"PTB";"PTB / PSC / PPS / PRTB / PMN / PTC / PRP / PPL";"1";"10.007"
"";"";"";"";"";"";"";"133.064"
"BA";"";"1518";"LUCIO QUADROS VIEIRA LIMA";"PMDB";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"222.164"
"";"";"1111";"MÁRIO SÍLVIO MENDES NEGROMONTE JÚNIOR";"PP";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"169.215"
"";"";"2020";"ANTONIO LAZARO SILVA";"PSC";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"161.438"
"";"";"1410";"ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO";"PTB";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"159.840"
"";"";"1144";"RONALDO CARLETTO";"PP";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"148.628"
"";"";"6565";"DANIEL GOMES DE ALMEIDA";"PC do B";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"135.382"
"";"";"1234";"FELIX DE ALMEIDA MENDONÇA JUNIOR";"PDT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"130.583"
"";"";"1300";"LUIZ CARLOS CAETANO";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"125.862"
"";"";"1115";"CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO";"PP";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"125.605"
"";"";"1313";"JORGE JOSÉ SANTOS PEREIRA SOLLA";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"125.159"
"";"";"1310";"VALMIR CARLOS DA ASSUNÇÃO";"PT";"PP / PDT / PT / PTB / PR / PSD / PC do B";"1";"123.284"
"";"";"4555";"ANTONIO JOSÉ IMBASSAHY DA SILVA";"PSDB";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"120.479"
"";"";"4567";"JOÃO GUALBERTO VASCONCELOS";"PSDB";"DEM / PMDB / PSDB / PTN / SD / PROS / PRB / PSC";"1";"117.671"
